id,song,artist_or_source,language,genre,mood,activity,energy,min_age,max_age,age_group,recommendation_tags,context_mood,context_activity,context_energy
HR-163,Anbil Avan,Vinnaithaandi Varuvaayaa,Tamil,Melody,Romantic,Relaxing,Low,81,100,81-100,"Tamil,Melody,Romantic,Relaxing,Low",Stressed,Studying,Low
HR-164,Maruvaarthai,Enai Noki Paayum Thota,Tamil,Melody,Emotional,Relaxing,Low,1,5,1-5,"Tamil,Melody,Emotional,Relaxing,Low",Sad,Relaxing,Low
HR-165,Nenjukkul Peidhidum,Vaaranam Aayiram,Tamil,Melody,Calm,Studying,Low,6,12,6-12,"Tamil,Melody,Calm,Studying,Low",Romantic,Relaxing,Low
HR-166,Rowdy Baby,Maari 2,Tamil,Dance,Happy,Party,High,13,17,13-17,"Tamil,Dance,Happy,Party,High",Happy,Party,High
HR-167,Arabic Kuthu,Beast,Tamil,Dance,Energetic,Workout,High,18,25,18-25,"Tamil,Dance,Energetic,Workout,High",Energetic,Workout,High
HR-168,Vaathi Coming,Master,Tamil,Dance,Energetic,Workout,High,26,35,26-35,"Tamil,Dance,Energetic,Workout,High",Calm,Meditation,Low
HR-169,Aaluma Doluma,Vedalam,Tamil,Dance,Energetic,Workout,High,36,50,36-50,"Tamil,Dance,Energetic,Workout,High",Bored,Walking,Medium
HR-170,Enjoy Enjaami,Single,Tamil,Folk,Happy,Walking,Medium,51,65,51-65,"Tamil,Folk,Happy,Walking,Medium",Focused,Working,Low
HR-171,Tum Tum,Enemy,Tamil,Dance,Happy,Party,High,66,80,66-80,"Tamil,Dance,Happy,Party,High",Happy,Walking,Medium
HR-172,Jimikki Ponnu,Varisu,Tamil,Dance,Happy,Party,High,81,100,81-100,"Tamil,Dance,Happy,Party,High",Calm,Studying,Low
HR-173,Megham Karukatha,Thiruchitrambalam,Tamil,Melody,Calm,Relaxing,Low,1,5,1-5,"Tamil,Melody,Calm,Relaxing,Low",Stressed,Studying,Low
HR-174,Kaavaalaa,Jailer,Tamil,Dance,Energetic,Party,High,6,12,6-12,"Tamil,Dance,Energetic,Party,High",Sad,Relaxing,Low
HR-175,Hukum,Jailer,Tamil,Rock,Energetic,Workout,High,13,17,13-17,"Tamil,Rock,Energetic,Workout,High",Romantic,Relaxing,Low
HR-176,Why This Kolaveri Di,3,Tamil,Pop,Happy,Party,Medium,18,25,18-25,"Tamil,Pop,Happy,Party,Medium",Happy,Party,High
HR-177,Anbe En Anbe,Dhaam Dhoom,Tamil,Melody,Romantic,Relaxing,Low,26,35,26-35,"Tamil,Melody,Romantic,Relaxing,Low",Energetic,Workout,High
HR-178,Pachai Kiligal,Indian,Tamil,Melody,Calm,Relaxing,Low,36,50,36-50,"Tamil,Melody,Calm,Relaxing,Low",Calm,Meditation,Low
HR-179,New York Nagaram,Sillunu Oru Kadhal,Tamil,Melody,Emotional,Relaxing,Low,51,65,51-65,"Tamil,Melody,Emotional,Relaxing,Low",Bored,Walking,Medium
HR-180,Hosanna,Vinnaithaandi Varuvaayaa,Tamil,Melody,Romantic,Relaxing,Medium,66,80,66-80,"Tamil,Melody,Romantic,Relaxing,Medium",Focused,Working,Low
HR-181,Vaseegara,Minnale,Tamil,Melody,Calm,Relaxing,Low,81,100,81-100,"Tamil,Melody,Calm,Relaxing,Low",Happy,Walking,Medium
HR-182,Munbe Vaa,Sillunu Oru Kadhal,Tamil,Melody,Calm,Studying,Low,1,5,1-5,"Tamil,Melody,Calm,Studying,Low",Calm,Studying,Low
HR-183,Anbil Avan,Vinnaithaandi Varuvaayaa,Tamil,Melody,Romantic,Relaxing,Low,6,12,6-12,"Tamil,Melody,Romantic,Relaxing,Low",Stressed,Studying,Low
HR-184,Maruvaarthai,Enai Noki Paayum Thota,Tamil,Melody,Emotional,Relaxing,Low,13,17,13-17,"Tamil,Melody,Emotional,Relaxing,Low",Sad,Relaxing,Low
HR-185,Nenjukkul Peidhidum,Vaaranam Aayiram,Tamil,Melody,Calm,Studying,Low,18,25,18-25,"Tamil,Melody,Calm,Studying,Low",Romantic,Relaxing,Low
HR-186,Rowdy Baby,Maari 2,Tamil,Dance,Happy,Party,High,26,35,26-35,"Tamil,Dance,Happy,Party,High",Happy,Party,High
HR-187,Arabic Kuthu,Beast,Tamil,Dance,Energetic,Workout,High,36,50,36-50,"Tamil,Dance,Energetic,Workout,High",Energetic,Workout,High
HR-188,Vaathi Coming,Master,Tamil,Dance,Energetic,Workout,High,51,65,51-65,"Tamil,Dance,Energetic,Workout,High",Calm,Meditation,Low
HR-189,Aaluma Doluma,Vedalam,Tamil,Dance,Energetic,Workout,High,66,80,66-80,"Tamil,Dance,Energetic,Workout,High",Bored,Walking,Medium
HR-190,Enjoy Enjaami,Single,Tamil,Folk,Happy,Walking,Medium,81,100,81-100,"Tamil,Folk,Happy,Walking,Medium",Focused,Working,Low
HR-191,Tum Tum,Enemy,Tamil,Dance,Happy,Party,High,1,5,1-5,"Tamil,Dance,Happy,Party,High",Happy,Walking,Medium
HR-192,Jimikki Ponnu,Varisu,Tamil,Dance,Happy,Party,High,6,12,6-12,"Tamil,Dance,Happy,Party,High",Calm,Studying,Low
HR-193,Megham Karukatha,Thiruchitrambalam,Tamil,Melody,Calm,Relaxing,Low,13,17,13-17,"Tamil,Melody,Calm,Relaxing,Low",Stressed,Studying,Low
HR-194,Kaavaalaa,Jailer,Tamil,Dance,Energetic,Party,High,18,25,18-25,"Tamil,Dance,Energetic,Party,High",Sad,Relaxing,Low
HR-195,Hukum,Jailer,Tamil,Rock,Energetic,Workout,High,26,35,26-35,"Tamil,Rock,Energetic,Workout,High",Romantic,Relaxing,Low
HR-196,Why This Kolaveri Di,3,Tamil,Pop,Happy,Party,Medium,36,50,36-50,"Tamil,Pop,Happy,Party,Medium",Happy,Party,High
HR-197,Anbe En Anbe,Dhaam Dhoom,Tamil,Melody,Romantic,Relaxing,Low,51,65,51-65,"Tamil,Melody,Romantic,Relaxing,Low",Energetic,Workout,High
HR-198,Pachai Kiligal,Indian,Tamil,Melody,Calm,Relaxing,Low,66,80,66-80,"Tamil,Melody,Calm,Relaxing,Low",Calm,Meditation,Low
HR-199,New York Nagaram,Sillunu Oru Kadhal,Tamil,Melody,Emotional,Relaxing,Low,81,100,81-100,"Tamil,Melody,Emotional,Relaxing,Low",Bored,Walking,Medium
HR-200,Hosanna,Vinnaithaandi Varuvaayaa,Tamil,Melody,Romantic,Relaxing,Medium,1,5,1-5,"Tamil,Melody,Romantic,Relaxing,Medium",Focused,Working,Low
HR-201,Tum Hi Ho,Aashiqui 2,Hindi,Melody,Emotional,Relaxing,Low,1,5,1-5,"Hindi,Melody,Emotional,Relaxing,Low",Happy,Walking,Medium
HR-202,Kesariya,Brahmastra,Hindi,Pop,Romantic,Relaxing,Medium,6,12,6-12,"Hindi,Pop,Romantic,Relaxing,Medium",Calm,Studying,Low
HR-203,Apna Bana Le,Bhediya,Hindi,Melody,Romantic,Relaxing,Low,13,17,13-17,"Hindi,Melody,Romantic,Relaxing,Low",Stressed,Studying,Low
HR-204,Ranjha,Shershaah,Hindi,Melody,Emotional,Relaxing,Low,18,25,18-25,"Hindi,Melody,Emotional,Relaxing,Low",Sad,Relaxing,Low
HR-205,Tujhe Kitna Chahne Lage,Kabir Singh,Hindi,Melody,Emotional,Relaxing,Low,26,35,26-35,"Hindi,Melody,Emotional,Relaxing,Low",Romantic,Relaxing,Low
HR-206,Shayad,Love Aaj Kal,Hindi,Melody,Romantic,Relaxing,Low,36,50,36-50,"Hindi,Melody,Romantic,Relaxing,Low",Happy,Party,High
HR-207,Hawayein,Jab Harry Met Sejal,Hindi,Melody,Romantic,Relaxing,Low,51,65,51-65,"Hindi,Melody,Romantic,Relaxing,Low",Energetic,Workout,High
HR-208,Agar Tum Saath Ho,Tamasha,Hindi,Melody,Emotional,Relaxing,Low,66,80,66-80,"Hindi,Melody,Emotional,Relaxing,Low",Calm,Meditation,Low
HR-209,Raabta,Agent Vinod,Hindi,Melody,Romantic,Relaxing,Low,81,100,81-100,"Hindi,Melody,Romantic,Relaxing,Low",Bored,Walking,Medium
HR-210,Khairiyat,Chhichhore,Hindi,Melody,Emotional,Relaxing,Low,1,5,1-5,"Hindi,Melody,Emotional,Relaxing,Low",Focused,Working,Low
HR-211,Ve Kamleya,Rocky Aur Rani Kii Prem Kahaani,Hindi,Melody,Romantic,Relaxing,Medium,6,12,6-12,"Hindi,Melody,Romantic,Relaxing,Medium",Happy,Walking,Medium
HR-212,O Maahi,Dunki,Hindi,Melody,Emotional,Relaxing,Low,13,17,13-17,"Hindi,Melody,Emotional,Relaxing,Low",Calm,Studying,Low
HR-213,Satranga,Animal,Hindi,Melody,Emotional,Relaxing,Low,18,25,18-25,"Hindi,Melody,Emotional,Relaxing,Low",Stressed,Studying,Low
HR-214,Chaleya,Jawan,Hindi,Pop,Romantic,Walking,Medium,26,35,26-35,"Hindi,Pop,Romantic,Walking,Medium",Sad,Relaxing,Low
HR-215,Ghungroo,War,Hindi,Dance,Happy,Workout,High,36,50,36-50,"Hindi,Dance,Happy,Workout,High",Romantic,Relaxing,Low
HR-216,Kala Chashma,Baar Baar Dekho,Hindi,Dance,Happy,Party,High,51,65,51-65,"Hindi,Dance,Happy,Party,High",Happy,Party,High
HR-217,What Jhumka,Rocky Aur Rani Kii Prem Kahaani,Hindi,Dance,Happy,Party,High,66,80,66-80,"Hindi,Dance,Happy,Party,High",Energetic,Workout,High
HR-218,Nacho Nacho,RRR,Hindi,Dance,Energetic,Workout,High,81,100,81-100,"Hindi,Dance,Energetic,Workout,High",Calm,Meditation,Low
HR-219,Badtameez Dil,Yeh Jawaani Hai Deewani,Hindi,Pop,Happy,Party,High,1,5,1-5,"Hindi,Pop,Happy,Party,High",Bored,Walking,Medium
HR-220,Gallan Goodiyaan,Dil Dhadakne Do,Hindi,Dance,Happy,Party,High,6,12,6-12,"Hindi,Dance,Happy,Party,High",Focused,Working,Low
HR-221,Tum Hi Ho,Aashiqui 2,Hindi,Melody,Emotional,Relaxing,Low,13,17,13-17,"Hindi,Melody,Emotional,Relaxing,Low",Happy,Walking,Medium
HR-222,Kesariya,Brahmastra,Hindi,Pop,Romantic,Relaxing,Medium,18,25,18-25,"Hindi,Pop,Romantic,Relaxing,Medium",Calm,Studying,Low
HR-223,Apna Bana Le,Bhediya,Hindi,Melody,Romantic,Relaxing,Low,26,35,26-35,"Hindi,Melody,Romantic,Relaxing,Low",Stressed,Studying,Low
HR-224,Ranjha,Shershaah,Hindi,Melody,Emotional,Relaxing,Low,36,50,36-50,"Hindi,Melody,Emotional,Relaxing,Low",Sad,Relaxing,Low
HR-225,Tujhe Kitna Chahne Lage,Kabir Singh,Hindi,Melody,Emotional,Relaxing,Low,51,65,51-65,"Hindi,Melody,Emotional,Relaxing,Low",Romantic,Relaxing,Low
HR-226,Shayad,Love Aaj Kal,Hindi,Melody,Romantic,Relaxing,Low,66,80,66-80,"Hindi,Melody,Romantic,Relaxing,Low",Happy,Party,High
HR-227,Hawayein,Jab Harry Met Sejal,Hindi,Melody,Romantic,Relaxing,Low,81,100,81-100,"Hindi,Melody,Romantic,Relaxing,Low",Energetic,Workout,High
HR-228,Agar Tum Saath Ho,Tamasha,Hindi,Melody,Emotional,Relaxing,Low,1,5,1-5,"Hindi,Melody,Emotional,Relaxing,Low",Calm,Meditation,Low
HR-229,Raabta,Agent Vinod,Hindi,Melody,Romantic,Relaxing,Low,6,12,6-12,"Hindi,Melody,Romantic,Relaxing,Low",Bored,Walking,Medium
HR-230,Khairiyat,Chhichhore,Hindi,Melody,Emotional,Relaxing,Low,13,17,13-17,"Hindi,Melody,Emotional,Relaxing,Low",Focused,Working,Low
HR-231,Ve Kamleya,Rocky Aur Rani Kii Prem Kahaani,Hindi,Melody,Romantic,Relaxing,Medium,18,25,18-25,"Hindi,Melody,Romantic,Relaxing,Medium",Happy,Walking,Medium
HR-232,O Maahi,Dunki,Hindi,Melody,Emotional,Relaxing,Low,26,35,26-35,"Hindi,Melody,Emotional,Relaxing,Low",Calm,Studying,Low
HR-233,Satranga,Animal,Hindi,Melody,Emotional,Relaxing,Low,36,50,36-50,"Hindi,Melody,Emotional,Relaxing,Low",Stressed,Studying,Low
HR-234,Chaleya,Jawan,Hindi,Pop,Romantic,Walking,Medium,51,65,51-65,"Hindi,Pop,Romantic,Walking,Medium",Sad,Relaxing,Low
HR-235,Ghungroo,War,Hindi,Dance,Happy,Workout,High,66,80,66-80,"Hindi,Dance,Happy,Workout,High",Romantic,Relaxing,Low
HR-236,Kala Chashma,Baar Baar Dekho,Hindi,Dance,Happy,Party,High,81,100,81-100,"Hindi,Dance,Happy,Party,High",Happy,Party,High
HR-237,What Jhumka,Rocky Aur Rani Kii Prem Kahaani,Hindi,Dance,Happy,Party,High,1,5,1-5,"Hindi,Dance,Happy,Party,High",Energetic,Workout,High
HR-238,Nacho Nacho,RRR,Hindi,Dance,Energetic,Workout,High,6,12,6-12,"Hindi,Dance,Energetic,Workout,High",Calm,Meditation,Low
HR-239,Badtameez Dil,Yeh Jawaani Hai Deewani,Hindi,Pop,Happy,Party,High,13,17,13-17,"Hindi,Pop,Happy,Party,High",Bored,Walking,Medium
HR-240,Gallan Goodiyaan,Dil Dhadakne Do,Hindi,Dance,Happy,Party,High,18,25,18-25,"Hindi,Dance,Happy,Party,High",Focused,Working,Low
HR-241,Tum Hi Ho,Aashiqui 2,Hindi,Melody,Emotional,Relaxing,Low,26,35,26-35,"Hindi,Melody,Emotional,Relaxing,Low",Happy,Walking,Medium
HR-242,Kesariya,Brahmastra,Hindi,Pop,Romantic,Relaxing,Medium,36,50,36-50,"Hindi,Pop,Romantic,Relaxing,Medium",Calm,Studying,Low
HR-243,Apna Bana Le,Bhediya,Hindi,Melody,Romantic,Relaxing,Low,51,65,51-65,"Hindi,Melody,Romantic,Relaxing,Low",Stressed,Studying,Low
HR-244,Ranjha,Shershaah,Hindi,Melody,Emotional,Relaxing,Low,66,80,66-80,"Hindi,Melody,Emotional,Relaxing,Low",Sad,Relaxing,Low
HR-245,Tujhe Kitna Chahne Lage,Kabir Singh,Hindi,Melody,Emotional,Relaxing,Low,81,100,81-100,"Hindi,Melody,Emotional,Relaxing,Low",Romantic,Relaxing,Low
HR-246,Shayad,Love Aaj Kal,Hindi,Melody,Romantic,Relaxing,Low,1,5,1-5,"Hindi,Melody,Romantic,Relaxing,Low",Happy,Party,High
HR-247,Hawayein,Jab Harry Met Sejal,Hindi,Melody,Romantic,Relaxing,Low,6,12,6-12,"Hindi,Melody,Romantic,Relaxing,Low",Energetic,Workout,High
HR-248,Agar Tum Saath Ho,Tamasha,Hindi,Melody,Emotional,Relaxing,Low,13,17,13-17,"Hindi,Melody,Emotional,Relaxing,Low",Calm,Meditation,Low
HR-249,Raabta,Agent Vinod,Hindi,Melody,Romantic,Relaxing,Low,18,25,18-25,"Hindi,Melody,Romantic,Relaxing,Low",Bored,Walking,Medium
HR-250,Khairiyat,Chhichhore,Hindi,Melody,Emotional,Relaxing,Low,26,35,26-35,"Hindi,Melody,Emotional,Relaxing,Low",Focused,Working,Low
HR-251,Ve Kamleya,Rocky Aur Rani Kii Prem Kahaani,Hindi,Melody,Romantic,Relaxing,Medium,36,50,36-50,"Hindi,Melody,Romantic,Relaxing,Medium",Happy,Walking,Medium
HR-252,O Maahi,Dunki,Hindi,Melody,Emotional,Relaxing,Low,51,65,51-65,"Hindi,Melody,Emotional,Relaxing,Low",Calm,Studying,Low
HR-253,Satranga,Animal,Hindi,Melody,Emotional,Relaxing,Low,66,80,66-80,"Hindi,Melody,Emotional,Relaxing,Low",Stressed,Studying,Low
HR-254,Chaleya,Jawan,Hindi,Pop,Romantic,Walking,Medium,81,100,81-100,"Hindi,Pop,Romantic,Walking,Medium",Sad,Relaxing,Low
HR-255,Ghungroo,War,Hindi,Dance,Happy,Workout,High,1,5,1-5,"Hindi,Dance,Happy,Workout,High",Romantic,Relaxing,Low
HR-256,Kala Chashma,Baar Baar Dekho,Hindi,Dance,Happy,Party,High,6,12,6-12,"Hindi,Dance,Happy,Party,High",Happy,Party,High
HR-257,What Jhumka,Rocky Aur Rani Kii Prem Kahaani,Hindi,Dance,Happy,Party,High,13,17,13-17,"Hindi,Dance,Happy,Party,High",Energetic,Workout,High
HR-258,Nacho Nacho,RRR,Hindi,Dance,Energetic,Workout,High,18,25,18-25,"Hindi,Dance,Energetic,Workout,High",Calm,Meditation,Low
HR-259,Badtameez Dil,Yeh Jawaani Hai Deewani,Hindi,Pop,Happy,Party,High,26,35,26-35,"Hindi,Pop,Happy,Party,High",Bored,Walking,Medium
HR-260,Gallan Goodiyaan,Dil Dhadakne Do,Hindi,Dance,Happy,Party,High,36,50,36-50,"Hindi,Dance,Happy,Party,High",Focused,Working,Low
HR-261,Tum Hi Ho,Aashiqui 2,Hindi,Melody,Emotional,Relaxing,Low,51,65,51-65,"Hindi,Melody,Emotional,Relaxing,Low",Happy,Walking,Medium
HR-262,Kesariya,Brahmastra,Hindi,Pop,Romantic,Relaxing,Medium,66,80,66-80,"Hindi,Pop,Romantic,Relaxing,Medium",Calm,Studying,Low
HR-263,Apna Bana Le,Bhediya,Hindi,Melody,Romantic,Relaxing,Low,81,100,81-100,"Hindi,Melody,Romantic,Relaxing,Low",Stressed,Studying,Low
HR-264,Ranjha,Shershaah,Hindi,Melody,Emotional,Relaxing,Low,1,5,1-5,"Hindi,Melody,Emotional,Relaxing,Low",Sad,Relaxing,Low
HR-265,Tujhe Kitna Chahne Lage,Kabir Singh,Hindi,Melody,Emotional,Relaxing,Low,6,12,6-12,"Hindi,Melody,Emotional,Relaxing,Low",Romantic,Relaxing,Low
HR-266,Shayad,Love Aaj Kal,Hindi,Melody,Romantic,Relaxing,Low,13,17,13-17,"Hindi,Melody,Romantic,Relaxing,Low",Happy,Party,High
HR-267,Hawayein,Jab Harry Met Sejal,Hindi,Melody,Romantic,Relaxing,Low,18,25,18-25,"Hindi,Melody,Romantic,Relaxing,Low",Energetic,Workout,High
HR-268,Agar Tum Saath Ho,Tamasha,Hindi,Melody,Emotional,Relaxing,Low,26,35,26-35,"Hindi,Melody,Emotional,Relaxing,Low",Calm,Meditation,Low
HR-269,Raabta,Agent Vinod,Hindi,Melody,Romantic,Relaxing,Low,36,50,36-50,"Hindi,Melody,Romantic,Relaxing,Low",Bored,Walking,Medium
HR-270,Khairiyat,Chhichhore,Hindi,Melody,Emotional,Relaxing,Low,51,65,51-65,"Hindi,Melody,Emotional,Relaxing,Low",Focused,Working,Low
HR-271,Ve Kamleya,Rocky Aur Rani Kii Prem Kahaani,Hindi,Melody,Romantic,Relaxing,Medium,66,80,66-80,"Hindi,Melody,Romantic,Relaxing,Medium",Happy,Walking,Medium
HR-272,O Maahi,Dunki,Hindi,Melody,Emotional,Relaxing,Low,81,100,81-100,"Hindi,Melody,Emotional,Relaxing,Low",Calm,Studying,Low
HR-273,Satranga,Animal,Hindi,Melody,Emotional,Relaxing,Low,1,5,1-5,"Hindi,Melody,Emotional,Relaxing,Low",Stressed,Studying,Low
HR-274,Chaleya,Jawan,Hindi,Pop,Romantic,Walking,Medium,6,12,6-12,"Hindi,Pop,Romantic,Walking,Medium",Sad,Relaxing,Low
HR-275,Ghungroo,War,Hindi,Dance,Happy,Workout,High,13,17,13-17,"Hindi,Dance,Happy,Workout,High",Romantic,Relaxing,Low
HR-276,Kala Chashma,Baar Baar Dekho,Hindi,Dance,Happy,Party,High,18,25,18-25,"Hindi,Dance,Happy,Party,High",Happy,Party,High
HR-277,What Jhumka,Rocky Aur Rani Kii Prem Kahaani,Hindi,Dance,Happy,Party,High,26,35,26-35,"Hindi,Dance,Happy,Party,High",Energetic,Workout,High
HR-278,Nacho Nacho,RRR,Hindi,Dance,Energetic,Workout,High,36,50,36-50,"Hindi,Dance,Energetic,Workout,High",Calm,Meditation,Low
HR-279,Badtameez Dil,Yeh Jawaani Hai Deewani,Hindi,Pop,Happy,Party,High,51,65,51-65,"Hindi,Pop,Happy,Party,High",Bored,Walking,Medium
HR-280,Gallan Goodiyaan,Dil Dhadakne Do,Hindi,Dance,Happy,Party,High,66,80,66-80,"Hindi,Dance,Happy,Party,High",Focused,Working,Low
HR-281,Tum Hi Ho,Aashiqui 2,Hindi,Melody,Emotional,Relaxing,Low,81,100,81-100,"Hindi,Melody,Emotional,Relaxing,Low",Happy,Walking,Medium
HR-282,Kesariya,Brahmastra,Hindi,Pop,Romantic,Relaxing,Medium,1,5,1-5,"Hindi,Pop,Romantic,Relaxing,Medium",Calm,Studying,Low
HR-283,Apna Bana Le,Bhediya,Hindi,Melody,Romantic,Relaxing,Low,6,12,6-12,"Hindi,Melody,Romantic,Relaxing,Low",Stressed,Studying,Low
HR-284,Ranjha,Shershaah,Hindi,Melody,Emotional,Relaxing,Low,13,17,13-17,"Hindi,Melody,Emotional,Relaxing,Low",Sad,Relaxing,Low
HR-285,Tujhe Kitna Chahne Lage,Kabir Singh,Hindi,Melody,Emotional,Relaxing,Low,18,25,18-25,"Hindi,Melody,Emotional,Relaxing,Low",Romantic,Relaxing,Low
HR-286,Shayad,Love Aaj Kal,Hindi,Melody,Romantic,Relaxing,Low,26,35,26-35,"Hindi,Melody,Romantic,Relaxing,Low",Happy,Party,High
HR-287,Hawayein,Jab Harry Met Sejal,Hindi,Melody,Romantic,Relaxing,Low,36,50,36-50,"Hindi,Melody,Romantic,Relaxing,Low",Energetic,Workout,High
HR-288,Agar Tum Saath Ho,Tamasha,Hindi,Melody,Emotional,Relaxing,Low,51,65,51-65,"Hindi,Melody,Emotional,Relaxing,Low",Calm,Meditation,Low
HR-289,Raabta,Agent Vinod,Hindi,Melody,Romantic,Relaxing,Low,66,80,66-80,"Hindi,Melody,Romantic,Relaxing,Low",Bored,Walking,Medium
HR-290,Khairiyat,Chhichhore,Hindi,Melody,Emotional,Relaxing,Low,81,100,81-100,"Hindi,Melody,Emotional,Relaxing,Low",Focused,Working,Low
HR-291,Ve Kamleya,Rocky Aur Rani Kii Prem Kahaani,Hindi,Melody,Romantic,Relaxing,Medium,1,5,1-5,"Hindi,Melody,Romantic,Relaxing,Medium",Happy,Walking,Medium
HR-292,O Maahi,Dunki,Hindi,Melody,Emotional,Relaxing,Low,6,12,6-12,"Hindi,Melody,Emotional,Relaxing,Low",Calm,Studying,Low
HR-293,Satranga,Animal,Hindi,Melody,Emotional,Relaxing,Low,13,17,13-17,"Hindi,Melody,Emotional,Relaxing,Low",Stressed,Studying,Low
HR-294,Chaleya,Jawan,Hindi,Pop,Romantic,Walking,Medium,18,25,18-25,"Hindi,Pop,Romantic,Walking,Medium",Sad,Relaxing,Low
HR-295,Ghungroo,War,Hindi,Dance,Happy,Workout,High,26,35,26-35,"Hindi,Dance,Happy,Workout,High",Romantic,Relaxing,Low
HR-296,Kala Chashma,Baar Baar Dekho,Hindi,Dance,Happy,Party,High,36,50,36-50,"Hindi,Dance,Happy,Party,High",Happy,Party,High
HR-297,What Jhumka,Rocky Aur Rani Kii Prem Kahaani,Hindi,Dance,Happy,Party,High,51,65,51-65,"Hindi,Dance,Happy,Party,High",Energetic,Workout,High
HR-298,Nacho Nacho,RRR,Hindi,Dance,Energetic,Workout,High,66,80,66-80,"Hindi,Dance,Energetic,Workout,High",Calm,Meditation,Low
HR-299,Badtameez Dil,Yeh Jawaani Hai Deewani,Hindi,Pop,Happy,Party,High,81,100,81-100,"Hindi,Pop,Happy,Party,High",Bored,Walking,Medium
HR-300,Gallan Goodiyaan,Dil Dhadakne Do,Hindi,Dance,Happy,Party,High,1,5,1-5,"Hindi,Dance,Happy,Party,High",Focused,Working,Low
HR-301,Malare,Premam,Malayalam,Melody,Romantic,Relaxing,Low,1,5,1-5,"Malayalam,Melody,Romantic,Relaxing,Low",Happy,Walking,Medium
HR-302,Pavizha Mazha,Athiran,Malayalam,Melody,Calm,Relaxing,Low,6,12,6-12,"Malayalam,Melody,Calm,Relaxing,Low",Calm,Studying,Low
HR-303,Darshana,Hridayam,Malayalam,Melody,Romantic,Studying,Low,13,17,13-17,"Malayalam,Melody,Romantic,Studying,Low",Stressed,Studying,Low
HR-304,Onakka Munthiri,Hridayam,Malayalam,Pop,Happy,Walking,Medium,18,25,18-25,"Malayalam,Pop,Happy,Walking,Medium",Sad,Relaxing,Low
HR-305,Puthiyoru Pathayil,Varathan,Malayalam,Melody,Calm,Relaxing,Low,26,35,26-35,"Malayalam,Melody,Calm,Relaxing,Low",Romantic,Relaxing,Low
HR-306,Uyiril Thodum,Kumbalangi Nights,Malayalam,Melody,Romantic,Relaxing,Low,36,50,36-50,"Malayalam,Melody,Romantic,Relaxing,Low",Happy,Party,High
HR-307,Cherathukal,Kumbalangi Nights,Malayalam,Melody,Calm,Studying,Low,51,65,51-65,"Malayalam,Melody,Calm,Studying,Low",Energetic,Workout,High
HR-308,Parayuvaan,Ishq,Malayalam,Melody,Romantic,Relaxing,Low,66,80,66-80,"Malayalam,Melody,Romantic,Relaxing,Low",Calm,Meditation,Low
HR-309,Jeevamshamayi,Theevandi,Malayalam,Melody,Emotional,Relaxing,Low,81,100,81-100,"Malayalam,Melody,Emotional,Relaxing,Low",Bored,Walking,Medium
HR-310,Aaradhike,Ambili,Malayalam,Melody,Romantic,Relaxing,Low,1,5,1-5,"Malayalam,Melody,Romantic,Relaxing,Low",Focused,Working,Low
HR-311,Thathaka Theithare,Hridayam,Malayalam,Folk,Happy,Walking,Medium,6,12,6-12,"Malayalam,Folk,Happy,Walking,Medium",Happy,Walking,Medium
HR-312,Kudukku,Love Action Drama,Malayalam,Dance,Happy,Party,High,13,17,13-17,"Malayalam,Dance,Happy,Party,High",Calm,Studying,Low
HR-313,Illuminati,Aavesham,Malayalam,Dance,Energetic,Workout,High,18,25,18-25,"Malayalam,Dance,Energetic,Workout,High",Stressed,Studying,Low
HR-314,Puthan Puthu,Uyare,Malayalam,Melody,Calm,Studying,Low,26,35,26-35,"Malayalam,Melody,Calm,Studying,Low",Sad,Relaxing,Low
HR-315,Vathikkalu Vellaripravu,Sufiyum Sujatayum,Malayalam,Melody,Romantic,Relaxing,Low,36,50,36-50,"Malayalam,Melody,Romantic,Relaxing,Low",Romantic,Relaxing,Low
HR-316,Darshana,Hridayam,Malayalam,Melody,Happy,Walking,Medium,51,65,51-65,"Malayalam,Melody,Happy,Walking,Medium",Happy,Party,High
HR-317,Azhalinte Aazhangalil,Ayalum Njanum Thammil,Malayalam,Melody,Emotional,Relaxing,Low,66,80,66-80,"Malayalam,Melody,Emotional,Relaxing,Low",Energetic,Workout,High
HR-318,Poomuthole,Joseph,Malayalam,Melody,Calm,Relaxing,Low,81,100,81-100,"Malayalam,Melody,Calm,Relaxing,Low",Calm,Meditation,Low
HR-319,Nee Mukilo,Uyare,Malayalam,Melody,Calm,Studying,Low,1,5,1-5,"Malayalam,Melody,Calm,Studying,Low",Bored,Walking,Medium
HR-320,Cherathukal,Kumbalangi Nights,Malayalam,Acoustic,Calm,Studying,Low,6,12,6-12,"Malayalam,Acoustic,Calm,Studying,Low",Focused,Working,Low
HR-321,Malare,Premam,Malayalam,Melody,Romantic,Relaxing,Low,13,17,13-17,"Malayalam,Melody,Romantic,Relaxing,Low",Happy,Walking,Medium
HR-322,Pavizha Mazha,Athiran,Malayalam,Melody,Calm,Relaxing,Low,18,25,18-25,"Malayalam,Melody,Calm,Relaxing,Low",Calm,Studying,Low
HR-323,Darshana,Hridayam,Malayalam,Melody,Romantic,Studying,Low,26,35,26-35,"Malayalam,Melody,Romantic,Studying,Low",Stressed,Studying,Low
HR-324,Onakka Munthiri,Hridayam,Malayalam,Pop,Happy,Walking,Medium,36,50,36-50,"Malayalam,Pop,Happy,Walking,Medium",Sad,Relaxing,Low
